river,year,intensité
"Grande Décharge, La",2016,20028.49761
"Grande Décharge, La",2017,33122.18345
"Grande Décharge, La",2018,
"Grande Décharge, La",2019,
"Harricana, Rivière",2011,57375.2536
"Harricana, Rivière",2012,34206.93262
"Harricana, Rivière",2013,109838.0259
"Harricana, Rivière",2014,109815.2942
"Harricana, Rivière",2015,71616.42662
"Harricana, Rivière",2016,56355.14312
"Harricana, Rivière",2017,22884.61401
"Harricana, Rivière",2018,
"Harricana, Rivière",2019,
"Hurons, Rivière des",2011,49864.26816
"Hurons, Rivière des",2012,41009.78696
"Hurons, Rivière des",2013,37116.75121
"Hurons, Rivière des",2014,32245.89674
"Hurons, Rivière des",2015,20968.78009
"Hurons, Rivière des",2016,43043.80808
"Hurons, Rivière des",2017,43147.78736
"Hurons, Rivière des",2018,
"Hurons, Rivière des",2019,
"L'Assomption, Rivière",2011,76570.47431
"L'Assomption, Rivière",2012,53902.74322
"L'Assomption, Rivière",2013,62184.35671
"L'Assomption, Rivière",2014,102513.7788
"L'Assomption, Rivière",2015,75755.53193
"L'Assomption, Rivière",2016,64318.67383
"L'Assomption, Rivière",2017,304123.4165
"L'Assomption, Rivière",2018,
"L'Assomption, Rivière",2019,
"La Corne, Ruisseau",2011,165891.2809
"La Corne, Ruisseau",2012,241028.6458
"La Corne, Ruisseau",2013,222002.1368
"La Corne, Ruisseau",2014,306640.4514
"La Corne, Ruisseau",2015,234750.2216
"La Corne, Ruisseau",2016,284269.4129
"La Corne, Ruisseau",2017,264731.727
"La Corne, Ruisseau",2018,
"La Corne, Ruisseau",2019,
"Lièvre, Rivière du",2011,10990.4409
"Lièvre, Rivière du",2012,5130.772025
"Lièvre, Rivière du",2013,8023.696668
"Lièvre, Rivière du",2014,7324.303336
"Lièvre, Rivière du",2015,7093.218956
"Lièvre, Rivière du",2016,10689.24126
"Lièvre, Rivière du",2017,77708.47908
"Lièvre, Rivière du",2018,
"Lièvre, Rivière du",2019,
"Loup, Rivière du",2011,29437.80848
"Loup, Rivière du",2012,37637.55927
"Loup, Rivière du",2013,48469.88573
"Loup, Rivière du",2014,65996.36491
"Loup, Rivière du",2015,69981.40293
"Loup, Rivière du",2016,94266.09484
"Loup, Rivière du",2017,76236.0695
"Loup, Rivière du",2018,
"Loup, Rivière du",2019,
"Malbaie, Rivière",2011,57681.36825
"Malbaie, Rivière",2012,51999.0808
"Malbaie, Rivière",2013,63605.28026
"Malbaie, Rivière",2014,26861.79277
"Malbaie, Rivière",2015,130487.8787
"Malbaie, Rivière",2016,66121.65815
"Malbaie, Rivière",2017,86335.09635
"Malbaie, Rivière",2018,
"Malbaie, Rivière",2019,
"Manicouagan, Rivière",2011,165866.5148
"Manicouagan, Rivière",2012,40314.073
"Manicouagan, Rivière",2013,54790.60565
"Manicouagan, Rivière",2014,265887.5863
"Manicouagan, Rivière",2015,
"Manicouagan, Rivière",2016,38498.43593
"Manicouagan, Rivière",2017,8456.328125
"Manicouagan, Rivière",2018,
"Manicouagan, Rivière",2019,
"Maskinongé, Rivière",2011,74802.9979
"Maskinongé, Rivière",2012,114406.9764
"Maskinongé, Rivière",2013,142886.4254
"Maskinongé, Rivière",2014,57104.25
"Maskinongé, Rivière",2015,102175.3704
"Maskinongé, Rivière",2016,63369.7267
"Maskinongé, Rivière",2017,146006.8308
"Maskinongé, Rivière",2018,
"Maskinongé, Rivière",2019,
"Matapédia, Rivière",2011,58782.38365
"Matapédia, Rivière",2012,53168.675
"Matapédia, Rivière",2013,7890.693452
"Matapédia, Rivière",2014,43795.01206
"Matapédia, Rivière",2015,11569.50858
"Matapédia, Rivière",2016,19352.50083
"Matapédia, Rivière",2017,
"Matapédia, Rivière",2018,
"Matapédia, Rivière",2019,
"Mille Îles, Rivière des",2011,174018.1337
"Mille Îles, Rivière des",2012,221428.9671
"Mille Îles, Rivière des",2013,252342.4211
"Mille Îles, Rivière des",2014,400913.3917
"Mille Îles, Rivière des",2015,153980.9009
"Mille Îles, Rivière des",2016,439117.1439
"Mille Îles, Rivière des",2017,553934.6574
"Mille Îles, Rivière des",2018,
"Mille Îles, Rivière des",2019,
"Mistassini, Rivière",2011,32486.98298
"Mistassini, Rivière",2012,18556.07377
"Mistassini, Rivière",2013,21358.14054
"Mistassini, Rivière",2014,33197.85283
"Mistassini, Rivière",2015,13069.56286
"Mistassini, Rivière",2016,14362.79524
"Mistassini, Rivière",2017,54739.1208
"Mistassini, Rivière",2018,
"Mistassini, Rivière",2019,
"Morin, Ruisseau",2011,26736.83444
"Morin, Ruisseau",2012,13422.31414
"Morin, Ruisseau",2013,12592.29088
"Morin, Ruisseau",2014,13556.87247
"Morin, Ruisseau",2015,13584.17496
"Morin, Ruisseau",2016,16631.11381
"Morin, Ruisseau",2017,21673.40196
"Morin, Ruisseau",2018,
"Morin, Ruisseau",2019,
"Nicolet, Rivière",2011,70603.05451
"Nicolet, Rivière",2012,72244.16996
"Nicolet, Rivière",2013,32653.16502
"Nicolet, Rivière",2014,24371.06766
"Nicolet, Rivière",2015,29025.31554
"Nicolet, Rivière",2016,41613.02611
"Nicolet, Rivière",2017,87613.14999
"Nicolet, Rivière",2018,
"Nicolet, Rivière",2019,
"Noire, Rivière",2011,18135.3764
"Noire, Rivière",2012,6133.86922
"Noire, Rivière",2013,14205.80168
"Noire, Rivière",2014,24069.85805
"Noire, Rivière",2015,14329.45345
"Noire, Rivière",2016,25907.72873
"Noire, Rivière",2017,32319.88096
"Noire, Rivière",2018,
"Noire, Rivière",2019,
"Nord, Rivière du",2011,81428.12456
"Nord, Rivière du",2012,45812.06059
"Nord, Rivière du",2013,50912.05003
"Nord, Rivière du",2014,62580.13934
"Nord, Rivière du",2015,8044.014522
"Nord, Rivière du",2016,17805.18876
"Nord, Rivière du",2017,209924.1505
"Nord, Rivière du",2018,
"Nord, Rivière du",2019,
"Osisko, Ruisseau",2011,107562.735
"Osisko, Ruisseau",2012,88276.2808
"Osisko, Ruisseau",2013,78745.81767
"Osisko, Ruisseau",2014,52063.4715
"Osisko, Ruisseau",2015,39114.4592
"Osisko, Ruisseau",2016,44095.62667
"Osisko, Ruisseau",2017,62089.01003
"Osisko, Ruisseau",2018,
"Osisko, Ruisseau",2019,
"Ouareau, Rivière",2011,19754.086
"Ouareau, Rivière",2012,20460.72064
"Ouareau, Rivière",2013,21680.23206
"Ouareau, Rivière",2014,18370.4594
"Ouareau, Rivière",2015,14254.14659
"Ouareau, Rivière",2016,13961.65082
"Ouareau, Rivière",2017,103970.3958
"Ouareau, Rivière",2018,
"Ouareau, Rivière",2019,
"Outaouais, Rivière des",2011,34424.22468
"Outaouais, Rivière des",2012,31849.9296
"Outaouais, Rivière des",2013,64921.52482
"Outaouais, Rivière des",2014,70481.2908
"Outaouais, Rivière des",2015,84722.64209
"Outaouais, Rivière des",2016,41486.51573
"Outaouais, Rivière des",2017,111185.5884
"Outaouais, Rivière des",2018,
"Outaouais, Rivière des",2019,
"Pelletier, Rivière",2011,17107.08226
"Pelletier, Rivière",2012,24236.93068
"Pelletier, Rivière",2013,21372.51592
"Pelletier, Rivière",2014,26537.00792
"Pelletier, Rivière",2015,22957.29868
"Pelletier, Rivière",2016,16670.51965
"Pelletier, Rivière",2017,29303.7819
"Pelletier, Rivière",2018,
"Pelletier, Rivière",2019,
"Petite Décharge, La",2011,186286.1901
"Petite Décharge, La",2012,101031.5672
"Petite Décharge, La",2013,76981.31118
"Petite Décharge, La",2014,87771.67347
"Petite Décharge, La",2015,78481.76374
"Petite Décharge, La",2016,92718.65561
"Petite Décharge, La",2017,156887.4295
"Petite Décharge, La",2018,
"Petite Décharge, La",2019,
"Prairies, Rivière des",2011,376977.0453
"Prairies, Rivière des",2012,288394.4356
"Prairies, Rivière des",2013,319475.5688
"Prairies, Rivière des",2014,314015.2994
"Prairies, Rivière des",2015,229470.0549
"Prairies, Rivière des",2016,421018.9842
"Prairies, Rivière des",2017,705385.7527
